NAICS2022|TRILATERAL
11|T
111|T
1111|T
11111|T
111110|
11112|T
111120|
11113|T
111130|
11114|T
111140|
11115|T
111150|
11116|T
111160|
11119|T
111191|
111199|
1112|T
11121|T
111211|
111219|
1113|T
11131|T
111310|
11132|T
111320|
11133|T
111331|
111332|
111333|
111334|
111335|
111336|
111339|
1114|T
11141|T
111411|
111419|
11142|T
111421|
111422|
1119|T
11191|T
111910|
11192|T
111920|
11193|T
111930|
11194|T
111940|
11199|T
111991|
111992|
111998|
112|T
1121|T
11211|T
112111|
112112|
11212|T
112120|
11213|T
112130|
1122|T
11221|T
112210|
1123|T
11231|T
112310|
11232|T
112320|
11233|T
112330|
11234|T
112340|
11239|T
112390|
1124|T
11241|T
112410|
11242|T
112420|
1125|T
11251|T
112511|
112512|
112519|
1129|T
11291|T
112910|
11292|T
112920|
11293|T
112930|
11299|T
112990|
113|T
1131|T
11311|T
113110|
1132|T
11321|T
113210|
1133|T
11331|T
113310|
114|T
1141|T
11411|T
114111|
114112|
114119|
1142|T
11421|T
114210|
115|T
1151|T
11511|T
115111|
115112|
115113|
115114|
115115|
115116|
1152|T
11521|T
115210|
1153|T
11531|T
115310|
21|T
211|T
2111|T
21112|
211120|
21113|
211130|
212|T
2121|T
21211|T
212114|
212115|
2122|T
21221|T
212210|
21222|T
212220|
21223|T
212230|
21229|T
212290|
2123|T
21231|T
212311|
212312|
212313|
212319|
21232|T
212321|
212322|
212323|
21239|T
212390|
213|T
2131|T
21311|T
213111|
213112|
213113|
213114|
213115|
22|T
221|T
2211|T
22111|T
221111|
221112|
221113|
221114|
221115|
221116|
221117|
221118|
22112|T
221121|
221122|
2212|T
22121|T
221210|
2213|T
22131|
221310|
22132|
221320|
22133|
221330|
23|T
236|T
2361|T
23611|T
236115|
236116|
236117|
236118|
2362|T
23621|T
236210|
23622|T
236220|
237|T
2371|T
23711|T
237110|
23712|T
237120|
23713|T
237130|
2372|T
23721|T
237210|
2373|T
23731|T
237310|
